0|iata_code|1|city_rus
AZT|AZT|Запатока|Запатока
AZZ|AZZ||
BAA|BAA|Биалла|Биалла
BAB|BAB||
BAC|BAC||
BAD|BAD|Шревспорт|Шревспорт
BAE|BAE|Барселонетта|Барселонетта
BAF|BAF||
BAG|BAG|Багуйо|Багуйо
BAH|BAH||
BAI|BAI|Буэнос-Айрес|Буэнос-Айрес
BAJ|BAJ|Бали|Бали
BAL|BAL||
BAM|BAM||
BAN|BAN|Базонго|Базонго
BAO|BAO||
BAP|BAP|Байбара|Байбара
BAQ|BAQ|Барранкуилла|Барранкуилла
BAR|BAR|Бейкер-Айленд, шт. Аляска|Бейкер-Айленд, шт. Аляска
BAS|BAS|Балале|Балале
BAT|BAT||
BAU|BAU||
BAV|BAV|Баотоу|Баотоу
BAW|BAW|Биавонке|Биавонке
BAX|BAX|Барнаул|Барнаул
BAY|BAY|Байя Маре|Байя Маре
BAZ|BAZ||
BBA|BBA|Балмаседа|Балмаседа
BBB|BBB||
BBC|BBC|Бэй Сити|Бэй Сити
BBD|BBD||
BBE|BBE||
BBF|BBF||
BBG|BBG|Бутаритари|Бутаритари
BBH|BBH|Барт|Барт
BBI|BBI|Бхубанесвар|Бхубанесвар
BBJ|BBJ|Битбург|Битбург
BBK|BBK|Касане|Касане
BBL|BBL|Баболсар|Баболсар
BBM|BBM|Баттамбанг|Баттамбанг
BBN|BBN||
BBO|BBO|Бербера|Бербера
BBP|BBP||
BBQ|BBQ||
BBR|BBR||
BBS|BBS||
BBT|BBT|Берберати|Берберати
BBU|BBU|Бухарест|Бухарест
BBV|BBV||
BBW|BBW||
BBX|BBX||
BBY|BBY|Бамбари|Бамбари
BBZ|BBZ|Замбези|Замбези
BCA|BCA|Баракоа|Баракоа
BCB|BCB||
BCC|BCC||
BCD|BCD|Баколод|Баколод
BCE|BCE||
BCF|BCF|Бука|Бука
BCG|BCG|Бемичи|Бемичи
BCH|BCH|Баукау|Баукау
BCI|BCI||
